"date","close","volume","open","high","low"
"2018/01/19","195.7300","2339163.0000","196.2400","196.6300","194.6500"
"2018/01/18","196.2000","2536370.0000","196.2100","196.5860","194.0600"
"2018/01/17","196.4900","2969251.0000","194.0150","197.1200","192.7700"
"2018/01/16","192.4600","4593152.0000","195.9200","198.2100","191.7100"
"2018/01/12","195.0500","4245427.0000","189.0900","195.5000","188.9900"
"2018/01/11","188.9200","1585296.0000","187.2900","188.9400","186.1850"
"2018/01/10","187.1100","1664285.0000","185.2100","187.2700","185.0730"
"2018/01/09","186.7000","1804413.0000","185.5700","186.9700","183.9314"
"2018/01/08","185.0400","2087795.0000","184.9500","185.5990","183.8300"
"2018/01/05","185.3400","2372772.0000","185.0000","185.9000","183.5400"
"2018/01/04","183.2200","2211111.0000","181.9300","184.0599","181.6400"
"2018/01/03","181.0400","2560840.0000","178.0000","181.8900","177.7000"
"2018/01/02","177.7000","2389633.0000","175.8500","177.8000","175.2600"
"2017/12/29","175.2400","1810148.0000","175.1900","176.9700","175.1000"
"2017/12/28","175.5500","1005477.0000","175.9200","176.0000","174.8500"
"2017/12/27","175.3600","1527416.0000","174.6500","175.4400","173.9700"
"2017/12/26","174.4400","917255.0000","174.3600","175.0000","173.0300"
"2017/12/22","175.0000","1702626.0000","173.9900","175.1000","173.7500"
"2017/12/21","174.5600","2164300.0000","174.0500","175.3200","174.0000"
"2017/12/20","174.2500","2677169.0000","176.0000","176.0000","172.9200"
"2017/12/19","174.9700","2458638.0000","176.0100","176.7600","174.2300"
"2017/12/18","176.7400","3410048.0000","178.4200","179.1500","175.3100"
"2017/12/15","177.5100","9150989.0000","179.3600","179.9800","174.3004"
"2017/12/14","175.0000","4679185.0000","178.2600","178.7200","174.9800"
"2017/12/13","176.8300","4529120.0000","173.5000","177.4200","173.2900"
"2017/12/12","172.5400","3864653.0000","172.6900","174.1300","170.4300"
"2017/12/11","174.3100","2774769.0000","173.7700","174.9800","173.2000"
"2017/12/08","173.5700","2061722.0000","177.0800","177.2000","173.1700"
"2017/12/07","174.6100","2440632.0000","173.4600","175.9000","172.1300"
"2017/12/06","173.5200","3755992.0000","166.7900","173.9600","165.7500"
"2017/12/05","167.5400","4697171.0000","167.6900","171.7800","165.6800"
"2017/12/04","168.4400","5929968.0000","180.3400","180.6200","168.4300"
"2017/12/01","179.5200","3016519.0000","179.5100","182.0000","177.1300"
"2017/11/30","181.4700","3973079.0000","178.1400","181.6700","176.5501"
"2017/11/29","176.8500","4307985.0000","183.8700","184.7300","175.3100"
"2017/11/28","185.4000","1645147.0000","185.6200","186.2700","184.3700"
"2017/11/27","185.0000","1280934.0000","184.8300","185.8400","184.0900"
"2017/11/24","184.4600","662988.0000","182.9600","184.7100","182.9600"
"2017/11/22","182.9000","1546477.0000","184.3200","184.5000","182.6200"
"2017/11/21","184.1500","2015654.0000","183.7500","185.5500","182.8350"
"2017/11/20","182.3400","1116970.0000","182.8000","183.4300","181.3400"
"2017/11/17","182.2400","1481853.0000","182.0800","182.9105","181.1350"
"2017/11/16","182.3000","1908136.0000","181.1800","182.4400","180.5800"
"2017/11/15","180.0800","1979992.0000","180.9200","181.7275","179.6043"
"2017/11/14","181.3200","1545949.0000","181.9800","182.1700","180.3100"
"2017/11/13","181.8500","1496079.0000","180.5000","182.3200","179.7500"
"2017/11/10","181.7200","2082624.0000","181.0000","182.0600","179.8300"
"2017/11/09","181.9200","2703644.0000","182.8800","183.0790","179.0300"
"2017/11/08","184.0600","1791285.0000","181.1900","184.4400","181.0600"
"2017/11/07","180.8800","2538924.0000","181.2300","181.7800","180.1100"
"2017/11/06","180.8000","2022364.0000","182.0100","182.2900","180.5400"
